(10) rounds of ammunition,Bullets,"(Diez) balas, (diez) disparos",
Adduce,"Presentar o alegar pruebas, razones, etc.",Aducir.,
Adjourned (The court stands a.),,Se levanta la sesi—n.,
Adjudication,"It connotes the process of resolving a controversy, while determination usually emphasizes the finality of a court decision.","Fallo, sentencia, decisi—n judicial. 
(Adjudicaci—n es un falso cognado).",
Adjudication hearing (Juvenile),Audiencia en la que se oye testimonio para determinar si un menor est‡ en la necesidad de servicios legales/si un joven delincuente necesita supervisi—n o no.,Primera audiencia de disposici—n o fallo.,
Adolescent assessment unit,,Unidad de evaluaci—n de adolescentes.,
Admit to sufficient facts,,Admitir la existencia de suficientes hechos.,
Admonish,,Amonestar o reprender.,
Adrift in an inner tube,,A la deriva en una balsa.,
Advanced and continued,,Adelantado (o reactivado) y aplazado.  Se reactiva y se aplaza (el caso).,
Advise,,"Aconsejar, recomendar, asesorar, informar, notificar.",
Advisory council,,Consejo consultivo.,
Affiant,,"Declarante, deponente, el que firma un ÒaffidavitÓ.",
Affidavit,,"Declaraci—n jurada, acta notarial.",
Affirmative defense,"A defendant's assertion of facts and arguments that, if true, will defeat the the plaintiff's or prosecution's claim, even if all the allegations in the complaint are true.  The defendant bears the burden of proving an affirmative defense.  Examples of affirmative defenses are duress (in a civil case) and insanity and self-defense (in a criminal case).",Defensa afirmativa o justificativa.,
Affray,,Ri–a,
Aftermarket light violation,Aftermarket is something that is sold by a third party manufacturer.,Infracci—n por instalaci—n de luz no original.,
Aggravated,,"(1) Con agravantes, calificado. (2) empeorado.",
Aggravated assault and battery,,Acometimiento y agresi—n graves.,
Agredir,,"Attack, assault.",
Ahumado,,"Pretty plastered, wasted, loaded.",
Airstrip,,Pista de aterrizaje.,
Alcohol awareness,,Programa educativo con respecto al alcohol.,
Aletazo,Pu–etazo.,,
Alien smuggling,,Contrabando de extranjeros.,
Alimony,,Pensi—n alimenticia.,
Allegation,,"Acusaci—n, imputaci—n.",
Alleged,,"(thief/violation) Presunto; (miracle) presunto, supuesto",
Allegiance,,Lealtad.,
Altercado,,Altercation.,
Ambulatory fashion,,A pie.,
Amendment,,Enmienda.,
Anger management,,Manejo de las emociones.,
Antitrust,,Antimonopolio.,
Appellate,,Apelaci—n.,
Appellant,,Recurrente.,
Application for complaint,,Solicitud de denuncia?,
"Apprehension, pending",,Aprehensi—n/detenci—n pendiente,
Apprise the judge of the defendant's custody status,,Informar al juez de la situaci—n de custodia del acusado.,
"Arc (fingerprint), plain",,Arco sencillo.,
Argument,,"Argumento, discusi—n, polŽmica, raz—n, razonamiento, motivo.",
Argumentative,,Argumentativa.,
Armor,,"Armadura, coraza, blindaje.  Acorazar, blindar.",
Arraignment,,Lectura de cargos.,
Arrange,,Encargarse de.,
Arrears,,Atrasos.,
Arson,,Incendio provocado.,
Article,,Secci—n.,
Art’culo (sub),,Section (sub).,
Ascertain,,"Establecer, determinar.",
Asco,,"Disgusting, repulsive.",
Asportation,One of the elements required to establish the crime of larceny.,Remoci—n.,
Assault,,"Ataque, arremetida, agresi—n.  (Tomasi) tentativa de lesiones, provocaci—n intencional de temor, ultraje al honor",
Assault and battery (A &B),,"Acometimiento y agresi—n, agresi—n con lesiones.  (Tomasi) lesiones.",
Assault with deadly weapon,,Ataque con arma mortal.,
Assert rights,,Reclamar/hacer valer/reivindicar derechos,
Assess,,"Tasar, valorar.",
Assessment,,"Valoraci—n, evaluaci—n, an‡lisis.",
Assessment of damages,,Estimaci—n de da–os y perjuicios.,
Asset,,Bien.,
Assignment,,"(Law) Cesi—n, transferencia, traspaso.",
Assistant chief,,Jefe auxiliar.,
Assistant clerk,,Secretario adjunto.,
Assumption,,Suposici—n.,
Atomic Energy Commission,,Comisi—n de Energ’a Nuclear.,
Attempt,,Tentativa.,
Attorney general,,Fiscal federal.,
Aval,,"(Comercio, Finanzas) guarantee, guaranty.  (Respaldo) backing, support; contamos con el aval de 50 a–os de experiencia - we have 50 years' experience behind us.  (Recomendaci—n) reference.",
Average,,"Aver’a, contribuci—n proporcional al da–o causado por la aver’a.",
"Avizandum, in",,En consideraci—n.,
Avowal,,Confesi—n.,
b.o.l.o,To be on the lookout.  It is found in police reports.,Andar a la caza de alguien.,
B.O.P (Board of Probation),,Junta de Probaci—n.,
Background check,,"Origen, formaci—n, experiencia.",
Background check,,Verificaci—n de antecedentes.,
Backup officer,,Agente de respaldo/refuerzo.,
Bail,,"Fianza, cauci—n.",
"Bail of $1,000 personal","Concesi—n de libertad bajo palabra, pero si incumple las condiciones de excarcelaci—n se le impondr‡ autom‡ticamente una fianza de $1.000.","Libertad bajo palabra, fianza de $1.000.",
Bail jumping (Also skip bail),To fail to appear in court at the appointed time after promising to appear and posting a bail bond.  The criminal offense of defaulting on one's bail.,Violaci—n de las condiciones de la fianza.,
Bail warning,,Advertencia de fianza.,
Bail without prejudice,,Con derecho a solicitar una reconsideraci—n de la fianza.,
"Bail, release on",,Libertad provisional bajo cauci—n (MŽx).  Libertad bajo fianza.,
"Bail argument, reserve my",Won't talk about this for now.,Me reservo el derecho de argumentar la fianza.,
Banging on the door,,Golpeando/d‡ndole golpes a la puerta.,
Barge in,Intrude or interrupt rudely or awkwardly.,Entrometerse.,
Barrack,,"Barrac—n, cuartel.",
"Basis, there is no",,No hay fundamento jur’dico.,
Batterer's program,,Programa para agresores.,
Battery,A harmful or unpermitted touching; aggression (From Mass.gov).,"Intimidaci—n violenta, lesi—n, ataque f’sico.",
Bay,,Muelle; (loading bay) plataforma de carga.,
BB gun,,Escopeta de aire comprimido.,
"Behalf of, on",,"En nombre de, de parte de.",
"Behest of, at the",,At the request of.,
Bench,,Banco de juez.,
Bench trial,,"Juicio ante el juez, juicio sin jurado.",
Beneficiary,,Beneficiario.,
Bias,,Sesgo.,
Bid,,Oferta.,
Bill of particulars,Clarification on police report.  It's an order to have some questions answered by the police.,,
Bill of rights,,Declaraci—n (constitucional) de derechos (civiles).,
Bindle,,Paquetillo.,
Blackout,,"1) Desvanecimiento, desmayo.  2) PŽrdida temporal de la memoria, laguna.",
Bleed valve,,V‡lvula de purga.,
Blight,,"Plaga, ensombrecer, c‡ncer, peste.",
Bloodshot eyes,,Ojos rojos/inyectados de sangre.,
Blow,,Golpe.,
Board of Probation record,,Historial/antecedentes de la Junta de rehabilitaci—n.,
Board up,,Cerrar con tablas.,
Boarding house/rooming house.,,"Pensi—n, casa de huŽspedes.",
Bodega,,Stash house/safe house.,
Bofetada,,"Slap.  On back, leg:  palmada.",
Bogus,,"Falso, falaz, fingido, fantasma, que se hace pasar por.",
"Bolo, estar",Estar borracho,To be drunk.,
Bolt,,"Echar a correr, salir corriendo o disparado.",
Bolt cutter,,Corta perno.,
Bona fide error,,Error involuntario.,
Bond,,Bien en forma de pagarŽ.,
Bondsman,,Fiador.,
Booking,,"Procedimientos para fichar al detenido, anotaci—n policial de la detenci—n de una persona, cumplimentacion de la ficha policial.",
Booth,,"Cabina, taquilla, boleter’a, caseta de informaci—n, fotomat—n, puesto, stand.",
Bourbon,,"Bourbon, whisky.",
Brawl,,"Pelea, reyerta, alboroto.",
Breach of copyright,,Violaci—n de los derechos de autor.,
Breach of official duty,,Prevaricaci—n.,
Breakdown,,Crisis nerviosa.,
Breaking and entering,,"Entrada ilegal, allanamiento de morada, escalamiento.",
Breath test,,Prueba del alcohol o alcoholemia.,
Bribery,,Soborno.,
Bridge (of nose),,Caballete.,
Bring it down a notch,,"C‡lmese un poco, baje un poco el tono.",
Bring up,,"Sacar a relucir, mencionar, sacar algo a colaci—n.",
"Bringing the case forward, thanks for",,Gracias por haber presentado el caso.,
Broker,,Corredor.,
Browbeat,,Intimidar.,
Building code,,Ordenanzas municipales reguladoras de la construccion.,
Burden of proof,,"Carga de la prueba, peso de la prueba, obligaci—n de probar.",
"Burden of proof, meet",,Cumplir con probar el caso; cumplir con la responsabilidad de probar los cargos.,
Burglary,"the crime of breaking and entering into a structure for the purpose of committing a crime. No great force is needed (pushing open a door or slipping through an open window is sufficient) if the entry is unauthorized. Contrary to common belief, a burglary is not necessarily for theft. It can apply to any crime, such as assault or sexual harassment, whether the intended criminal act is committed or not. Originally under English common law burglary was limited to entry in residences at night, but it has been expanded to all criminal entries into any building, or even into a vehicle.","Escalamiento con intenci—n de cometer un delito, allanamiento de morada/entrada ilegal (sin necesidad de ser violenta) con fines delictivos.",
Business administrator,,Administrador(a).,
Butt of jokes,"Person who the joke is about, laughing stock.","Blanco de las bromas, hazmerre’r.",
Buy money,,Dinero marcado.,
Cadre,,"(Administration, Military, Politics) cuadro.",
Calendar,,Lista de juicios.,
Call,,Convocar.,
Call the docket of the court,,Llamar la lista de los casos.,
Camshaft,,çrbol de levas.,
Candid,,"Abierto, franco, sincero.",
Candor,,Franqueza.,
Capell‡n,Sacerdote.,Chaplain.,
Capias for your ,,Orden judicial de detenci—n de una persona.,
Care and Protection (C & P),,Cuidado y protecci—n.,
Care of,,Atenci—n de.,
Careless,,Descuidadamente.,
Carnal,,"Brother, buddy.",
"Case, current",,Proceso en curso.,
"Case, there is no",,Queda sobrese’do.,
"Case, you have no",,Carece usted de base jur’dica.,
Case in chief,,"1) Actos probatorios.  Pruebas de la parte con la carga probatoria.  2) Caso principal, gobernante.  Meollo.",
Case law,Decisions based on prior cases.,Jurisprudencia.,
Case management conference,"First meeting.  Once the plaintiff files and the respondent answers, the information is presented before the judge in a case management conference.",Primera cita ante el juez.,
Cash,,Bien en met‡lico.,
Catch 22,No win situation.,Situaci—n en la que nadie gana.,
"Cause now pending, in the",,En el proceso/causa que est‡ ahora pendiente.,
"Caveat, with the",,1) Advertencia.  2) Con la salvedad de que.,
Cell phone records,,Registros del telŽfono celular.,
CFTC,Commodity Futures Trading Commission,Comisi—n para la Contrataci—n de Futuros de Bienes B‡sicos.,
Chairman,,Presidente.,
Chapter,,Cap’tulo.,
Charge (the jury),,Instruir o mandar a alguien a que haga algo; encomendarle a alguien cierta responsabilidad; instrucciones al jurado sobre cuestiones de derecho.,
Check,,Chequear.,
Checks and balances,,Frenos y equilibrios.,
Child support,,Manutenci—n de hijos/menores.,
"Chino, pelo",,(MŽx.) Curly hair.  Someone from another country might use this term to mean straight hair.,
CHINS,CHild In Need of Services.,Ni–os en necesidad de servicios legales.,
"Chivo, barbita de",,Goatee.,
CHR,Runaway child.,Ni–o/joven que huye del hogar.,
CHS,Stubborn child.,"Ni–o/joven rebelde, rebeld’a juvenil.",
CHH,Habitual school offender.,Estudiante problem‡tico.,
CHT,School truancy.,Ausentismo escolar.,
Citizen's arrest request form,,Solicitud de detenci—n de un ciudadano.,
City slickers,"A person with the values generally associated with urban dwellers, typically regarded as unprincipled and untrustworthy.","Pillo, cre’do, arrogante.",
Civil action,,Demanda,
Civil commitment,"A commitment of a person who is ill, incompetent, drug-addicted, or the like, as contrasted with a criminal sentence.",Detenci—n preventiva.,
Civil rights enforcement team,,Equipo pro cumplimiento de los derechos civiles.,
Claim,,Reclamaci—n.,
Class actions suits,,Demandas en grupo.,
"Class members, absent",,Demandantes ausentes.,
Clear and convincing evidence,,Prueba clara y convincente/contundente.,
Clerical errors,,Errores administrativos.,
Clerk of courts,,"Actuario/secretario de un juzgado, escribano, letrado consejero/asesor.",
Clerk magistrate,,"Secretario(a) magistrado, letrado asesor al juez.",
Clinician,,"Cl’nico, -ca.",
Clock (the vehicle),To measure the speed of the vehicle.,Medir la velocidad del veh’culo.,
Closing arguments,,Alegatos finales.,
Co-defendant,,"Codemandado, coacusado.",
Co-mortgagor,,Deudor solidario.,
Coacci—n,Fuerza o violencia que se hace a alguien para obligarlo a que diga o ejecute algo.,"Duress, coercion.",
Coast,,Deslizarse sin pedalear.,
Cobertizo,,Shed.,
Coerce,,"Coaccionar, compeler.",
Cogent,,"Convincente, contundente.",
Coil,,Bobina.,
Collect call,,Llamada a cobro revertido.,
Collections,,Cobranzas.,
Collective bargaining unit,,Unidades de negociaci—n colectiva.,
Commissioner,,"Comisionado, comisario.",
Commitment,,"Reclusi—n, internaci—n.",
Committed,,"Recluido, internado.",
Committee for Public Counsel Services,,ComitŽ de Asesor’a Legal Pœblica.,
Commonalty,The ordinary people,El pueblo llano.,
Compadre,Padre de un ahijado o padrino de algœn ni–o.,Father of one's godchild or godfather of one's child.  (Familiar) buddy.,
Comparison,,Cotejo.,
Competent,,Capacitado.,
Complaint (criminal),"No ""querella"", a excepcion de P.R.","(By a civilian) denuncia, (by an official in court) imputacion/acusacion.",
Compliance,,"De acuerdo con, en conformidad con.",
Compliance and Election(C&E),,Cumplimiento con el proceso de intercambio/entrega/revelaci—n de pruebas.,
Compos mentis,,En pleno uso de facultades mentales.,
Compose,,"Serenarse, recobrar la compostura.",
Comptroller,,Contralor,
Concern,,"Concernir, importar.  Asunto, negocio, incumbencia, preocupaci—n, interŽs.",
Concerned,,"Interesado, preocupado.",
Conciliation,Stop someone from being angry or discontented; placate; pacify; reconcile; make compatible.,Conciliaci—n.,
"Conference, pre-trial (PTC)",,Consulta previa al juicio.,
Confidential informant,,Informante confidencial.,
Confront,,"Carear, afrontar, enfrentar.",
Confundir,,"To mix up, to confuse, to mistake something/somebody for something/somebody.",
Conjecture,,"Conjetura, suposici—n.  Conjeturar, suponer.",
Connector (highway),,"Empalme, uni—n.",
Consent,,"(n) consentimiento, conformidad, aquiescencia, acuerdo.  (v) consentir, permitir, acceder.",
Conservatorship,,"Curatela, guardia.",
Consistent,,"1) Consecuente, coherente, constante.  2) Concordar.",
Constable,,"Agente de polic’a, guardia, alguacil.",
Consultar,,"Confer, consult.",
Contempt,,"Desacato, desobediencia, rebeld’a, contumacia.",
Contest,,"Refutar, protestar contra.",
Contest the issuance of the order,,"Desafiar que yo emita la orden (de protecci—n en su contra), objetar/oponerse a que se emita la orden.",
Contingency,,"Contingencia, eventualidad.",
Continued for payment until,,Caso aplazado por pago hasta nueva fecha.,
Contravene,,"Contravenir a una ley, obrar en contra, desobedecer, infringir.",
Controlled buy,,Compra encubierta.,
Controversial,,"Controvertido, polŽmico.",
Convene,,"Convocar, reunirse.",
Convenio,,Agreement.,
Convey,,"Transportar, conducirse.",
Conviction,,Condena.,
Co–o,,Damn.,
Copyright,,Derecho de autor.,
Coraje,,"(valor) courage, spunk (desfachatez) nerve, (rabia) makes someone mad.",
"Corners of document, four ",,"En su totalidad, petici—n basada estrictamente en el contenido del documento.  Norma interpretativa de un documento de acuerdo con su contenido y sin referencias externas.",
Council (town/city),,"Municipio, ayuntamiento.",
Counseling,,"Servicio personalizado de asesoramiento y ayuda, terapia, orientaci—n psicopedag—gica.",
Counterargue,,"Rebatir, refutar.",
Counterclaims,,Contrademandas.,
Court,,"Tribunal de justicia, —rgano jurisdiccional, juzgado, corte, audiencia, sesi—n, autoridades judiciales.",
Court appointed attorney,,"Abogado de oficio, defensor pœblico.",
Court case,,Proceso.,
Court clinic,,Cl’nica del tribunal.,
"Court compliance, out of",,Cumplimiento fuera del tribunal,
Court officer,,Guardia de la sala.,
"Court, officer of the",,Funcionario/empleado del tribunal.,
Court reporter,,Taqu’grafo de actas.,
Courthouse,,"Juzgado, palacio de justicia.",
Courtroom,,Sala de audiencia/vistas.,
Cover firm,,Empresa tapadera.,
Crack pipe,,Pipa para fumar crack.,
Crankshaft,,Eje o ‡rbol del cigue–al.,
Credible,,"Cre’ble, veros’mil.",
Creditor (mortgage),,Acreedor.,
Criminal procedure,"Specifying the states of the criminal process from arrest through prosecution, sentencing, appeal and release from prison.",Procedimiento penal.,
Criminal record,,"Historial/antecedente penal, (Cono sur) prontuario.",
Criminal session (3rd.),,Tercera sesi—n en lo penal.,
Cringe,,"Hacer sentir verguenza ajena, hacer pensar 'tierra tr‡game', morirse de verguenza.",
Cross,,Contrainterrogaci—n.,
Cross-complaint,,Contrademanda.,
Crowbar,,Palanca.,
Cruiser,,Patrulla.,
Crush,,Aplastar.,
Cuates,,Buddies.,
"Cuckold of somebody, to make a",,Ponerle los cuernos a alguien.,
Curb,,Borde de la acera.,
Curfew,,"Toque de queda, hora de llegada obligatoria.",
"Custody, joint",,"Custodia en comœn, compartida.",
Cut (drogs),,Adulterar?,
CWOF,Continued without a finding.,Ser aplazado sin emitir fallo.  Aplazamiento sin que se emita fallo.,
Cyber sleuthing,,Investigaciones cibernŽticas.,
D.E.A,,"Administraci—n de Control de Narc—ticos/Antidroga, Direcci—n de Control de Drogas, Brigada Antinarc—ticos, Administraci—n para el cumplimiento de la legislaci—n de sustancias prohibidas.",
Damages,,Da–os y perjuicios.  Indemnizaci—n por da–os y perjuicios.,
Dazzling,,Deslumbrante.,
Dealing,,"Relaci—n, trato, actividad, transacci—n.",
Decepci—n,,Disappointment.,
Deception,,Enga–o.,
Declaratoria,Dicho de un pronunciamiento o de una resoluci—n judicial:  que se limita a definir la existencia y extensi—n de un delito.,"Determination, ruling.",
Declaratory judgment,,"Sentencia declarativa, fallo declarativo.",
Deed,,"Escritura, t’tulo, instrumento formal para transferir derechos sobre un inmueble.",
Deed of trust,,Contrato fiduciario.,
Deem,,Considerar.,
Default,,"No comparecer, incumplimiento, falta.",
"Default, old",,"Desacato de larga data, viejo desacato.",
"Default, post-dispositional",,Incumplimiento/acto deshonesto despuŽs de la resoluci—n.,
"Default, pre-dispositional",,Incumplimientos previos a la resoluci—n del caso.,
Default clearance,,Resoluci—n del asunto de incomparecencia.,
Default warrant removal,,Eliminaci—n de la orden de detenci—n por incomparecencia.,
Defendant,,"Acusado, demandado, indiciado.",
Defense of necessity,,Defensa por necesidad.,
Deliberation,,Deliberaci—n.,
Delinquency,,Delincuencia.,
Demeanor,,"Porte, comportamiento, proceder, conducta.",
"Demeanor?, what was his",," Debe ser expresado como:  C—mo se comportaba""?/ c—mo se le ve’a?/ etc., para reflejar la pregunta m‡s ampliamente.",
Demurrage,,"Estad’a, demora, penalizaci—n o gastos por sobreestad’a.",
Department of Corrections,,Departamento correccional/ de correcciones.,r
Department of Health and Human Services,,Departamento de Salud y Servicios Humanos.,
Department of Homeland Security,,Departamento de Seguridad Nacional.,
Department of Revenue,,Secretar’a/Ministerio de Hacienda.,
Department of Youth Services,,Departamento de Servicios al Menor.,
Departmental waiver,,Exenci—n/renuncia departamental.,
Deposition,,"Deposici—n, declaraci—n.",
Derogatory,,"Despectivo, peyorativo, con desdŽn, con desprecio.",
Descompuesto,,"Broken, broken down.",
Desecrate,,Profanar.,
Desfachatez,,"Gull, brazenness, shamelessness, insolence.",
Despreciar,,To look down on.,
Detail (Police),,"Cuadrilla?, asignaci—n?.",
Detainer,,"Detenci—n, orden de detenci—n por inmigraci—n.",
Deterrent,,,
Detrimental,,Perjudicial.,
Die,,Molde.,
Direcci—n (del veh’culo),,Steering.,
Direct examination,,Interrogatorio directo.,
Directing your attention,,Dirigiendo su atenci—n.,
Disability,,"Minusval’a, discapacidad.",
"Disadvantaged, the (people)",,Los desfavorecidos,
Disc edema,Disc(or ÒpapilaÓ) is the top of the optic nerve.  Edema is an inflamation.  ,Edema del nervio —ptico/disco/papila.,
Discharge,,"1) Liberar, poner en libertad.  2) Eximir (de una responsabilidad), dispensar, despedir.  3) (Duty/obligation) cumplir con.",
Disclosure,,"Revelaci—n, divulgaci—n de informaci—n desconocida hasta ese entonces.",
Discomfort,,"1) Incomodidad, molestia, malestar.  2) Inquietud, desasosiego.",
Discordia,,Discord.,
Discovery,"1) Compulsory disclosure, at a party's request, of information that relates to the litigation.  2) The pretrial phase of a lawsuit during which depositions, interrogatories, and other forms of discovery are conducted.","Descubrimiento de pruebas, proposici—n de pruebas, exhibici—n, revelaci—n, divulgaci—n.",
Discovery compliance and jury waiver election.,,Ver ÒCompliance and Election(C&E)Ó,
Dismiss,,"Desestimar, denegar, negar, sobreseer.",
"Dismissal, straight",,Desestimaci—n/sobreseimiento convencional.,
Dismissal with prejudice,,Desestimaci—n/sobreseimiento con perjuicio/sin derechos/precluyendo el ejercicio de cualquier acci—n.,
Dismissal without prejudice,,Desestimaci—n/sobreseimiento sin perjuicio/con derechos/sin precluir el ejercicio de acciones procedentes.,
Disorderly,,"Escandalosamente, alborotadamente, revoltosamente.",
Disorderly conduct,,Esc‡ndalo pœblico.,
Disparate plea,,"Pacto nulo, acuerdo no satisfactorio/discordante, oferta dispar, recomendaciones diferentes.",
Dispense with,,Prescindir de.,
Display of fish upon demand; violations,,Muestra de pescados a solicitud; infracciones.,
Disposal,,(Power to use) disposici—n,
Disposition,"A court determination or ruling, especially one settling or deciding a case.  A final settlement or determination.",Resoluci—n (de un caso).,
Dispositive,Being a deciding factor; bringing about a final determination.,Decisivo?,
Disregard,,"Ignorar, hacer caso omiso de, no tomar en cuenta/consideraci—n, no prestar atenci—n a.",
Disturbance,,"Perturbaci—n, molestia, tumulto.",
Disturbing school assembly,,Perturbaci—n del orden escolar.,
Disturbing the peace,,Alterar el orden pœblico.,
Diversion program,,Programa educativo o de trabajo.,
Dock,,Banquillo de los acusados.,
Docket (n.),,Registro oficial en que un juez/secretario(a) hace notas breves de todos los procedimientos y acciones en una causa en juicio.,
Docket (v.),1) To make a brief entry in the docket of the proceedings and filings in a court case <to docket the filing date>. 2) To abstract and enter in a book <to docket a judgment>. 3) To schedule (a case) for trial or some other event <the case was docketed for a May trial>.,"1) Anotar.
2) Inscribir.
3) Fijar, programar, planear.",
Docket number,,Nœmero de la causa/expediente.,
Dolo,,Knowingly.,
Double jeopardy,,Excepci—n de cosa juzgada.,
Downplay,,Quitar importancia a.,
Drag racing,One car racing against another on a straight line over a measured distance.,Competencia de carros.,
Drill sargeant,,Sargento instructor de reclutas.,
Driveway,,Entrada para autos.,
Drug certificate,Certificado emitido por el laboratorio criminol—gico despuŽs que analiza las drogas.,Certificado de an‡lisis de drogas.,
Drug court,,Tribunal anti-drogas/de casos de drogas.,
Drug Enforcement Administration (DEA),,Agencia de Control de Drogas de Estados Unidos.,
Drug recognition expert (DRE),,Perito de drogas.,
Drug trade,,Industria del narcotr‡fico.,
Due,,"1) Adecuado, debido.  2) Pagadero, monto adeudado.",
Due process,Abstract term meaning that criminal procedures are supposed to be fair and just.,"Debido procedimiento legal, garant’as procesales.",
Dull (pain),,Sordo.,
Duplex,,"Casa para dos familias, dœplex.",
Duress,,Coacci—n.,
Eagerness,,"Ansia, anhelo, af‡n, avidez, vehemencia.",
Earned income,,Renta de trabajo.,
Effrontery,,"Desfachatez, descaro.",
Egregious,,"Atroz, mayœsculo.",
Elipsis,"Forma retorica que consiste en la supresi—n de algœn tŽrmino de la oraci—n, que aunque sea necesario para la correcta construcci—n gramatical, se sobreentiende por el contexto.",,
Embezzlement,,"Desfalco, malversaci—n.",
Emotional distress,,"Angustia, aflicci—n, disgusto, sufrimiento.",
Employer,,"Patrono, empleador.",
Empower,,"Facultar, comisionar, autorizar, conferirle/atribuirle/otorgarle poderes a, empoderar, investir de poder a alguien, apoderar, darle las herramientas a.",
Enacted,,"Decretado, promulgado.",
Encourage,,"Incitar, instigar.",
Endorse,,"1) (statement/decision) aprobar, refrendar.  2) (check) endosar.",
Enforceable,,"Ejecutable, que puede hacer cumplirse, respetarse, obedecerse.",
Enjoined,"Prohibited, forbidden.",,
"Ensued was, what",,"Lo que siguio, lo que tuvo lugar a continuacion.",
Ensuing,,Subsiguiente.,
Entreabierta,,"Hanging open, part way open.",
Equity,Segunda fuente del derecho jurisprudencial inglŽs,1) Equidad 2) Valor neto.,
Erratic driver,,Conductor err‡tico.,
Escabullir,,"Slip over, slip away, escape.",
Escalation,,(of dispute) intensificaci—n.,
Escarnio,,"Ridicule, derision.",
Escort agency,,Agencia de acompa–antes.,
Esgrimir,,"(documento) to put forward, use.",
Estafa,,"Rip-off, swindle, fraud",
Estereotipado,,Boilerplate language.,
Estoppel,,Doctrina de los actos propios.,
Evidence,,Prueba.,
"Evidence, strong",,Prueba solida.,
Evidence collection,,Recogida de pruebas.,
Evidencia,,"Evidence, proof.",
Evidentiary hearing,"Hearing at which evidence is presented, as opposed to a hearing at which only legal argument is presented.",Audiencia de pruebas.,
Ex-parte order,,Orden judicial derivada de actuaciones en las que ha participado una sola parte.,
Exculpatory evidence,Prueba que podr’a ser usada en pro del indiciado.,Prueba exculpatoria.,
Excuse from the case,,Dispensar/eximir del caso.,
Execution to issue,An order issued by the court to authorize a process-server to seize or take possession of real or personal property to be sold to pay a judgment.,,
Exhaust system,,Escape.,
Exhibit,,"(Criminal) art’culo/elemento de prueba, (civil) anexo.",
Exigent circumstances,,"Circunstancias urgentes, apremiantes.",
Exit poll,,Encuesta a pie de urna.,
Expert testimony,,Testimonio pericial.,
Expert witness testimony,,Prueba pericial.,
Expired temporary I-551 resident alien stamp,,Sello para extranjeros residentes temporalmente caducado.,
Eye lid tremor,,Movimiento involuntario del p‡rpado.,
F.A.A.,Federal Aviation Authority.,Aviaci—n Civil Federal.,
"Face of it, on the",Before you look too deeply,"A primera vista, superficialmente.",
"F‡cil, se me hizo",Ejemplo: alguien es acusado de hurtar mercanc’a en una tienda y le preguntan por quŽ llevaba el art’culo en cuesti—n en la mano. La persona dice: Òse me hizo f‡cilÓ; pero no significa: Òit was easy to doÓ.,I didn't think of it/give it a thought (Central America),
Facility,,"Centro, complejo.",
Facts as found,,Hechos probados.,
Failure to stop,,Hizo caso omiso a/no obedeci— la se–al de pare/no se par—.,
False pretenses,,"Medios fraudulentos, con enga–os, de contrabando.",
False starts,,Arranques en falso.,
Fatherhood program,,Programa para padres.,
Federal Bureau of Investigation (FBI),,Oficina Federal de Investigaciones.,
Federal Communications Commission,,Comisi—n Federal de Comunicaciones.,
Federal Trade Commission,,Comisi—n Federal de Comercio.,
